All_About_Overklocking Adithya_Kurniawan Sains_dan_Teknologi Hotel_Buku
Antara_Bandung_dan_Rancaekek Albari_Berki_Pradhana Slice_of_Life Garamedia
Dia_Adalah_Joki_Ngodingku Audrey_Asokawati Fiksi Togaperak
Serba_Serbi_Deep_Fake Afif_Alfauzan Sains_dan_Teknologi Togaperak
Yaogairu Watari_Wataru Romance Sagalamedia
Esseo Kawahara_Reki Action Enterbrain
Mahoukakoure Ishida_Kana Action Kadokawa_Shoten
Rashoumon Akutagawa_Ryuunosuke Thriller Elex
Wagahai_wa_Neko_Dearu Akutagawa_Ryuunosuke Slice_of_Life Kodansha
Run_Melos Osamu_Dazai Adventure Shuueisha
Arishi_Hi_no_Uta Nakahara_Chuuya Romance Elex
Ningen_Shikkaku Akutagawa_Ryuunosuke Psychological Animate
Asshewaru Kawahara_Reki Action Gakushudo
Gotou_Hana Haruba_Negi Romance Kodansha
#### #### #### ####
